job_role,company_name,field,required_skills,,,,,,
IoT Engineer,Bosch,Electronics Engineering,IoT,C,C++,MQTT,Embedded Linux,Sensors,
Hardware Engineer,NVIDIA,Electronics Engineering,Circuit Design,PCB,FPGA,Verilog,Hardware Testing,,
RF Engineer,Ericsson,Electronics Engineering,RF Design,Antenna,Wireless Communication,MATLAB,Signal Processing,,
Power Electronics Engineer,ABB,Electronics Engineering,Power Electronics,MATLAB,Simulink,Control Systems,Circuit Design,,
Robotics Engineer,Boston Dynamics,Electronics Engineering,Robotics,ROS,C++,Control Systems,MATLAB,Sensors,
Automation Engineer,Siemens,Electronics Engineering,PLC,SCADA,Automation,Control Systems,Python,Industrial IoT,
Firmware Engineer,STMicroelectronics,Electronics Engineering,C,Firmware,Microcontrollers,RTOS,ARM,Debugging,
PCB Design Engineer,Texas Instruments,Electronics Engineering,PCB Design,Altium,Eagle,Circuit Design,Schematic,,
FPGA Engineer,Xilinx,Electronics Engineering,FPGA,Verilog,VHDL,Digital Design,Timing Analysis,Synthesis,
Analog Design Engineer,Analog Devices,Electronics Engineering,Analog Circuits,SPICE,Op-Amp,PCB,Signal Integrity,,
Mixed Signal Engineer,Broadcom,Electronics Engineering,Mixed Signal,Analog,Digital Design,SPICE,Verilog,,
Telecom Engineer,Nokia,Electronics Engineering,Telecom,LTE,5G,RF,Signal Processing,MATLAB,
Wireless Engineer,MediaTek,Electronics Engineering,Wireless Communication,RF,Bluetooth,WiFi,Embedded C,,
Sensor Engineer,Honeywell,Electronics Engineering,Sensors,Embedded C,Signal Processing,IoT,Calibration,,
Control Systems Engineer,Rockwell Automation,Electronics Engineering,Control Systems,PLC,MATLAB,Simulink,Automation,,
Power Systems Engineer,Schneider Electric,Electronics Engineering,Power Systems,MATLAB,Simulink,Circuit Design,Protection,,
Instrumentation Engineer,Yokogawa,Electronics Engineering,Instrumentation,Sensors,PLC,SCADA,Calibration,,
Test Engineer,National Instruments,Electronics Engineering,Testing,LabVIEW,Embedded C,Automation,Signal Analysis,,
Chip Design Engineer,ARM,Electronics Engineering,VLSI,Verilog,VHDL,Physical Design,Timing Analysis,,
SoC Engineer,Apple Silicon,Electronics Engineering,SoC,VLSI,Verilog,ARM,Physical Design,Verification,
Verification Engineer,Cadence,Electronics Engineering,SystemVerilog,UVM,Verification,VLSI,Simulation,,
DFT Engineer,Synopsys,Electronics Engineering,DFT,ATPG,Scan Chain,VLSI,Verilog,,
Physical Design Engineer,TSMC,Electronics Engineering,Physical Design,Cadence,Timing Closure,VLSI,Floorplanning,,
Layout Engineer,GlobalFoundries,Electronics Engineering,IC Layout,Cadence Virtuoso,DRC,LVS,Analog Layout,,
Embedded Linux Engineer,NXP Semiconductors,Electronics Engineering,Embedded Linux,C,Device Drivers,Kernel,ARM,,
Motor Control Engineer,Danfoss,Electronics Engineering,Motor Control,Power Electronics,MATLAB,Embedded C,Control Systems,,
Battery Management Engineer,BYD,Electronics Engineering,Battery Management,Power Electronics,Embedded C,CAN,Automotive,,
Automotive Electronics Engineer,Continental,Electronics Engineering,Automotive,CAN,AUTOSAR,Embedded C,MATLAB,,
Avionics Engineer,Honeywell Aerospace,Electronics Engineering,Avionics,Embedded C,DO-178C,RTOS,Communication Protocols,,
Medical Electronics Engineer,Medtronic,Electronics Engineering,Medical Devices,Embedded C,Signal Processing,FDA Compliance,PCB,,
Consumer Electronics Engineer,Samsung,Electronics Engineering,Consumer Electronics,Embedded C,PCB,Product Design,Testing,,
Wearable Tech Engineer,Fitbit,Electronics Engineering,Wearables,Embedded C,Bluetooth,Sensors,Low Power Design,,
Smart Grid Engineer,GE Energy,Electronics Engineering,Smart Grid,Power Systems,IoT,SCADA,Communication Protocols,,
Radar Systems Engineer,Raytheon,Electronics Engineering,Radar,Signal Processing,MATLAB,RF,DSP,,
Satellite Engineer,ISRO,Electronics Engineering,Satellite Communication,RF,Signal Processing,Embedded C,MATLAB,,
Drone Engineer,DJI,Electronics Engineering,Drones,Embedded C,Control Systems,ROS,Sensors,Flight Controller,
Optical Engineer,II-VI Incorporated,Electronics Engineering,Optics,Photonics,Signal Processing,MATLAB,Embedded Systems,,
Mechatronics Engineer,Fanuc,Electronics Engineering,Mechatronics,Robotics,PLC,C++,Control Systems,Sensors,
Power Semiconductor Engineer,Infineon,Electronics Engineering,Power Semiconductors,MOSFET,IGBT,Circuit Design,Testing,,
RF IC Designer,Skyworks,Electronics Engineering,RF IC,Analog Design,RFIC,SPICE,Verilog,,
Wireless SoC Engineer,Qualcomm,Electronics Engineering,Wireless,SoC,Embedded C,Bluetooth,WiFi,ARM,
Energy Harvesting Engineer,EnOcean,Electronics Engineering,Energy Harvesting,Low Power,Embedded C,Sensors,IoT,,
Acoustic Engineer,Bose,Electronics Engineering,Acoustics,Signal Processing,DSP,MATLAB,Embedded C,,
Display Engineer,LG Display,Electronics Engineering,Display Technology,Embedded C,Signal Processing,PCB,Testing,,
Thermal Management Engineer,Laird Thermal,Electronics Engineering,Thermal Management,Heat Transfer,Simulation,PCB,Testing,,
High Speed Design Engineer,Samtec,Electronics Engineering,High Speed Design,Signal Integrity,PCB,Simulation,Differential Pairs,,
EMC Engineer,TUV Rheinland,Electronics Engineering,EMC,EMI,PCB Design,Testing,Compliance,,
Mechanical Design Engineer,Tesla,Mechanical Engineering,SolidWorks,CAD,FEA,Manufacturing,GD&T,CATIA,
Thermal Engineer,SpaceX,Mechanical Engineering,Thermodynamics,Heat Transfer,ANSYS,CFD,MATLAB,Simulation,
Manufacturing Engineer,Toyota,Mechanical Engineering,Manufacturing Processes,Lean,Six Sigma,CAD,Quality Control,,
Structural Engineer,Tata Steel,Mechanical Engineering,Structural Analysis,FEA,ANSYS,SolidWorks,Material Science,,
Product Design Engineer,Apple,Mechanical Engineering,CAD,SolidWorks,Product Design,Prototyping,GD&T,DFM,
Aerospace Engineer,Boeing,Mechanical Engineering,Aerodynamics,CFD,MATLAB,Structural Analysis,Flight Mechanics,,
HVAC Engineer,Carrier,Mechanical Engineering,HVAC,Thermodynamics,AutoCAD,Energy Simulation,Building Systems,,
Automotive Engineer,BMW,Mechanical Engineering,Automotive Systems,CAD,MATLAB,Vehicle Dynamics,Testing,,
Turbine Engineer,GE Aviation,Mechanical Engineering,Turbines,Thermodynamics,CFD,ANSYS,Material Science,,
Fluid Dynamics Engineer,Rolls Royce,Mechanical Engineering,Fluid Mechanics,CFD,ANSYS,MATLAB,Simulation,,
Robotics Mechanical Engineer,ABB Robotics,Mechanical Engineering,Robotics,SolidWorks,Kinematics,CAD,Simulation,,
Tool Design Engineer,Bosch,Mechanical Engineering,Tool Design,SolidWorks,CAD,Manufacturing,GD&T,,
Piping Engineer,ExxonMobil,Mechanical Engineering,Piping Design,AutoCAD,PDMS,Stress Analysis,P&ID,,
Pressure Vessel Engineer,BHEL,Mechanical Engineering,Pressure Vessels,ASME,FEA,ANSYS,Material Science,,
Maintenance Engineer,Reliance Industries,Mechanical Engineering,Preventive Maintenance,Reliability,Root Cause Analysis,CAD,,,
Quality Engineer,Mahindra,Mechanical Engineering,Quality Control,Six Sigma,SPC,FMEA,Measurement Systems,,
Welding Engineer,Lincoln Electric,Mechanical Engineering,Welding,Metallurgy,NDT,Quality Control,Fabrication,,
Casting Engineer,Alcoa,Mechanical Engineering,Casting,Metallurgy,SolidWorks,Quality Control,Manufacturing,,
Forging Engineer,Bharat Forge,Mechanical Engineering,Forging,Metallurgy,CAD,Quality Control,Manufacturing,,
CNC Engineer,DMG Mori,Mechanical Engineering,CNC,G-Code,CAM,SolidWorks,Manufacturing,,
Additive Manufacturing Engineer,Stratasys,Mechanical Engineering,3D Printing,Additive Manufacturing,CAD,Material Science,,,
Composite Materials Engineer,Hexcel,Mechanical Engineering,Composites,Material Science,FEA,Manufacturing,Testing,,
Fatigue Analysis Engineer,Dassault Aviation,Mechanical Engineering,Fatigue Analysis,FEA,ANSYS,Material Science,Structural Analysis,,
Vibration Engineer,Bruel & Kjaer,Mechanical Engineering,Vibration Analysis,MATLAB,Signal Processing,FEA,Testing,,
Acoustics Engineer,Arup,Mechanical Engineering,Acoustics,Vibration,MATLAB,Simulation,Testing,,
Cryogenics Engineer,Air Liquide,Mechanical Engineering,Cryogenics,Thermodynamics,Heat Transfer,MATLAB,Simulation,,
Hydraulics Engineer,Parker Hannifin,Mechanical Engineering,Hydraulics,Fluid Mechanics,CAD,Simulation,Control Systems,,
Pneumatics Engineer,Festo,Mechanical Engineering,Pneumatics,Fluid Mechanics,CAD,Automation,Control Systems,,
Propulsion Engineer,Safran,Mechanical Engineering,Propulsion,Thermodynamics,CFD,MATLAB,Aerospace,,
Wind Energy Engineer,Vestas,Mechanical Engineering,Wind Energy,Aerodynamics,CFD,MATLAB,Structural Analysis,,
Solar Thermal Engineer,SunPower,Mechanical Engineering,Solar Thermal,Thermodynamics,Heat Transfer,MATLAB,Simulation,,
Biomechanical Engineer,Stryker,Mechanical Engineering,Biomechanics,FEA,Material Science,CAD,Medical Devices,,
Packaging Engineer,Procter & Gamble,Mechanical Engineering,Packaging Design,CAD,Material Science,Manufacturing,Testing,,
Noise Vibration Harshness Engineer,Ford,Mechanical Engineering,NVH,Vibration,MATLAB,FEA,Automotive,,
Powertrain Engineer,Cummins,Mechanical Engineering,Powertrain,Thermodynamics,CAD,Testing,Automotive,,
Chassis Engineer,Maruti Suzuki,Mechanical Engineering,Chassis Design,CAD,FEA,Vehicle Dynamics,Testing,,
Suspension Engineer,ZF Friedrichshafen,Mechanical Engineering,Suspension,Vehicle Dynamics,CAD,MATLAB,Testing,,
Brake Systems Engineer,Brembo,Mechanical Engineering,Brake Systems,Thermal Analysis,CAD,Testing,Automotive,,
Transmission Engineer,Allison Transmission,Mechanical Engineering,Transmission,Gear Design,CAD,MATLAB,Testing,,
Engine Design Engineer,Cummins,Mechanical Engineering,Engine Design,Thermodynamics,CAD,CFD,Testing,,
Compressor Engineer,Atlas Copco,Mechanical Engineering,Compressors,Thermodynamics,CFD,CAD,Testing,,
Pump Engineer,Grundfos,Mechanical Engineering,Pumps,Fluid Mechanics,CAD,CFD,Testing,,
Heat Exchanger Engineer,Alfa Laval,Mechanical Engineering,Heat Exchangers,Thermodynamics,CFD,CAD,Testing,,
Valve Engineer,Emerson,Mechanical Engineering,Valves,Fluid Mechanics,CAD,Testing,Control Systems,,
Bearing Engineer,SKF,Mechanical Engineering,Bearings,Tribology,Material Science,CAD,Testing,,
Gear Design Engineer,Renk,Mechanical Engineering,Gear Design,Kinematics,CAD,FEA,Testing,,
Sealing Engineer,Freudenberg,Mechanical Engineering,Sealing,Material Science,CAD,Testing,Fluid Mechanics,,
Fastener Engineer,Illinois Tool Works,Mechanical Engineering,Fasteners,Material Science,CAD,Testing,Manufacturing,,
Metrology Engineer,Hexagon,Mechanical Engineering,Metrology,GD&T,CMM,Quality Control,Measurement,,
Reliability Engineer,Caterpillar,Mechanical Engineering,Reliability,FMEA,Root Cause Analysis,Maintenance,Statistics,,
Civil Site Engineer,L&T,Civil Engineering,AutoCAD,Structural Design,Construction Management,Site Supervision,,,
Structural Design Engineer,Arup,Civil Engineering,Structural Analysis,STAAD Pro,ETABS,Concrete Design,Steel Design,,
Transportation Engineer,AECOM,Civil Engineering,Traffic Analysis,Transportation Planning,AutoCAD,GIS,,,
Geotechnical Engineer,Jacobs,Civil Engineering,Soil Mechanics,Foundation Design,Geotechnical Analysis,AutoCAD,,,
Water Resources Engineer,Bechtel,Civil Engineering,Hydraulics,Water Treatment,AutoCAD,Environmental Engineering,,,
Urban Planner,Stantec,Civil Engineering,Urban Planning,GIS,AutoCAD,Zoning,Land Use Planning,,
Environmental Engineer,ERM,Civil Engineering,Environmental Assessment,Water Treatment,Waste Management,AutoCAD,,,
Bridge Engineer,WSP,Civil Engineering,Bridge Design,Structural Analysis,STAAD Pro,AutoCAD,Load Analysis,,
Highway Engineer,NHAI,Civil Engineering,Highway Design,AutoCAD,Traffic Engineering,Pavement Design,GIS,,
Tunnel Engineer,Atkins,Civil Engineering,Tunnel Design,Geotechnical,Structural Analysis,AutoCAD,Rock Mechanics,,
Dam Engineer,WAPCOS,Civil Engineering,Dam Design,Hydraulics,Structural Analysis,AutoCAD,Geotechnical,,
Port Engineer,Mott MacDonald,Civil Engineering,Port Design,Marine Engineering,Structural Analysis,AutoCAD,Hydraulics,,
Airport Engineer,AECOM,Civil Engineering,Airport Design,Pavement,AutoCAD,GIS,Project Management,,
Railway Engineer,RITES,Civil Engineering,Railway Design,Track Design,AutoCAD,Structural Analysis,Geotechnical,,
Metro Rail Engineer,DMRC,Civil Engineering,Metro Design,Structural Analysis,AutoCAD,Tunneling,Project Management,,
Irrigation Engineer,WAPCOS,Civil Engineering,Irrigation Design,Hydraulics,AutoCAD,Water Resources,GIS,,
Drainage Engineer,Halcrow,Civil Engineering,Drainage Design,Hydraulics,AutoCAD,GIS,Flood Analysis,,
Coastal Engineer,HR Wallingford,Civil Engineering,Coastal Engineering,Hydraulics,Wave Analysis,AutoCAD,GIS,,
Offshore Engineer,Subsea 7,Civil Engineering,Offshore Structures,Structural Analysis,Marine Engineering,AutoCAD,,,
Foundation Engineer,Keller,Civil Engineering,Foundation Design,Geotechnical,Pile Design,AutoCAD,Soil Mechanics,,
Retaining Wall Engineer,Tensar,Civil Engineering,Retaining Walls,Geotechnical,Structural Analysis,AutoCAD,,,
Pavement Engineer,Colas,Civil Engineering,Pavement Design,Material Testing,AutoCAD,Quality Control,,,
Quantity Surveyor,Turner & Townsend,Civil Engineering,Quantity Surveying,Cost Estimation,AutoCAD,MS Project,,,
Construction Manager,Shapoorji Pallonji,Civil Engineering,Construction Management,Project Planning,AutoCAD,MS Project,,,
Project Engineer,Gammon India,Civil Engineering,Project Management,AutoCAD,Structural Design,Site Supervision,,,
Building Services Engineer,Arup,Civil Engineering,MEP,HVAC,AutoCAD,Building Systems,Energy Analysis,,
Green Building Engineer,LEED,Civil Engineering,Green Building,Energy Efficiency,AutoCAD,LEED,Sustainability,,
Seismic Engineer,ARUP,Civil Engineering,Seismic Analysis,Structural Analysis,ETABS,SAP2000,Earthquake Engineering,,
Forensic Engineer,Exponent,Civil Engineering,Failure Analysis,Structural Analysis,Material Testing,AutoCAD,,,
BIM Engineer,Autodesk,Civil Engineering,BIM,Revit,AutoCAD,Navisworks,3D Modeling,,
GIS Engineer,Esri,Civil Engineering,GIS,ArcGIS,Remote Sensing,AutoCAD,Spatial Analysis,,
Surveying Engineer,Leica Geosystems,Civil Engineering,Surveying,Total Station,GPS,AutoCAD,GIS,,
Soil Testing Engineer,Fugro,Civil Engineering,Soil Testing,Geotechnical,Lab Testing,AutoCAD,Report Writing,,
Concrete Technologist,BASF,Civil Engineering,Concrete Technology,Mix Design,Quality Control,Material Testing,,,
Steel Detailing Engineer,Tekla,Civil Engineering,Steel Detailing,Tekla Structures,AutoCAD,Structural Analysis,,,
Precast Engineer,Elematic,Civil Engineering,Precast Concrete,Structural Design,AutoCAD,Manufacturing,,,
Waterproofing Engineer,Sika,Civil Engineering,Waterproofing,Material Science,Construction,Quality Control,,,
Facade Engineer,Permasteelisa,Civil Engineering,Facade Engineering,Structural Analysis,AutoCAD,Material Science,,,
Demolition Engineer,Keltbray,Civil Engineering,Demolition,Structural Analysis,Safety,Project Management,,,
Remediation Engineer,Arcadis,Civil Engineering,Site Remediation,Environmental Engineering,Geotechnical,AutoCAD,,,
Flood Risk Engineer,JBA Consulting,Civil Engineering,Flood Risk,Hydraulics,GIS,AutoCAD,Hydrology,,
Slope Stability Engineer,Golder Associates,Civil Engineering,Slope Stability,Geotechnical,Numerical Modeling,AutoCAD,,,
Underground Engineer,Mott MacDonald,Civil Engineering,Underground Construction,Tunneling,Geotechnical,AutoCAD,,,
Dredging Engineer,Van Oord,Civil Engineering,Dredging,Marine Engineering,Hydraulics,AutoCAD,,,
Landfill Engineer,Veolia,Civil Engineering,Landfill Design,Environmental Engineering,Geotechnical,AutoCAD,,,
Water Supply Engineer,Veolia Water,Civil Engineering,Water Supply,Hydraulics,AutoCAD,Water Treatment,GIS,,
Sewerage Engineer,Black & Veatch,Civil Engineering,Sewerage Design,Hydraulics,AutoCAD,Environmental Engineering,,,
Stormwater Engineer,GHD,Civil Engineering,Stormwater Management,Hydraulics,GIS,AutoCAD,Hydrology,,
Traffic Engineer,Atkins,Civil Engineering,Traffic Engineering,Traffic Modeling,AutoCAD,GIS,Transportation Planning,,
Pavement Materials Engineer,Tarmac,Civil Engineering,Pavement Materials,Material Testing,Quality Control,AutoCAD,,,
Project Manager,Infosys,Information Technology,Project Management,Agile,Scrum,JIRA,Risk Management,,
IT Consultant,Accenture,Information Technology,IT Strategy,Business Analysis,Communication,SQL,Problem Solving,,
Network Engineer,Cisco,Information Technology,Networking,TCP/IP,Routing,Switching,CCNA,Firewalls,VPN
Systems Administrator,IBM,Information Technology,Linux,Windows Server,Active Directory,Networking,Virtualization,,
ERP Consultant,SAP,Information Technology,SAP,ERP,Business Processes,SQL,ABAP,Configuration,
Business Analyst,Deloitte,Information Technology,Business Analysis,SQL,Data Analysis,Communication,Requirements,,
Quality Assurance Engineer,Wipro,Information Technology,Testing,Selenium,Automation,JIRA,SQL,Test Planning,
Technical Support Engineer,Dell,Information Technology,Troubleshooting,Networking,Windows,Linux,Customer Support,,
IT Security Analyst,Symantec,Information Technology,Cybersecurity,SIEM,Incident Response,Networking,Python,,
Cloud Support Engineer,AWS,Information Technology,AWS,Cloud Computing,Linux,Networking,Troubleshooting,,
IT Infrastructure Engineer,HCL,Information Technology,Networking,Linux,Windows Server,Virtualization,Storage,,
Help Desk Engineer,Cognizant,Information Technology,Technical Support,Windows,Networking,ITIL,Customer Service,,
ITSM Analyst,ServiceNow,Information Technology,ITIL,ServiceNow,Incident Management,Change Management,Problem Management,,
Scrum Master,Capgemini,Information Technology,Scrum,Agile,JIRA,Facilitation,Project Management,,
Agile Coach,ThoughtWorks,Information Technology,Agile,Scrum,Kanban,Coaching,Project Management,,
IT Auditor,KPMG,Information Technology,IT Audit,Risk Assessment,Compliance,SQL,COBIT,,
Compliance Analyst,PwC,Information Technology,Compliance,Risk Management,SQL,Audit,Regulatory,,
Data Governance Analyst,Collibra,Information Technology,Data Governance,SQL,Metadata Management,Data Quality,,,
Master Data Manager,SAP,Information Technology,Master Data,SAP,SQL,Data Quality,ERP,,
IT Procurement Specialist,Gartner,Information Technology,Procurement,Vendor Management,Contract Negotiation,IT Strategy,,,
Vendor Manager,Infosys BPO,Information Technology,Vendor Management,Contract Management,SLA,Communication,,,
IT Operations Manager,Mphasis,Information Technology,IT Operations,ITIL,Team Management,Incident Management,,,
NOC Engineer,Tata Communications,Information Technology,Network Operations,Monitoring,Linux,Networking,Troubleshooting,,
SOC Analyst,Secureworks,Information Technology,Security Operations,SIEM,Incident Response,Threat Analysis,Networking,,
Penetration Tester,Rapid7,Information Technology,Penetration Testing,Kali Linux,Python,Networking,Vulnerability Assessment,,
Ethical Hacker,EC-Council,Information Technology,Ethical Hacking,Penetration Testing,Python,Networking,OWASP,,
Digital Transformation Consultant,McKinsey Digital,Information Technology,Digital Transformation,IT Strategy,Change Management,Agile,,,
IT Trainer,NIIT,Information Technology,Training,Communication,Technical Writing,Curriculum Development,IT Knowledge,,
Technical Writer,Microsoft,Information Technology,Technical Writing,Documentation,Communication,Tools,Research,,
IT Recruiter,Naukri,Information Technology,Recruitment,HR,Communication,IT Knowledge,Sourcing,,
CRM Analyst,Salesforce,Information Technology,CRM,Salesforce,SQL,Business Analysis,Customer Management,,
ERP Implementation Consultant,Oracle,Information Technology,ERP,Oracle,SQL,Business Processes,Project Management,,
IT Change Manager,Capgemini,Information Technology,Change Management,ITIL,Communication,Project Management,Risk,,
Disaster Recovery Specialist,IBM,Information Technology,Disaster Recovery,Backup,Business Continuity,Networking,Linux,,
Virtualization Engineer,VMware,Information Technology,VMware,Virtualization,Linux,Networking,Storage,,
Storage Engineer,NetApp,Information Technology,Storage,SAN,NAS,Linux,Networking,Backup,
Backup Engineer,Veeam,Information Technology,Backup,Recovery,Linux,Windows Server,Storage,,
Monitoring Engineer,Nagios,Information Technology,Monitoring,Nagios,Linux,Networking,Scripting,,
Patch Management Engineer,Qualys,Information Technology,Patch Management,Windows,Linux,Vulnerability Management,,,
Asset Management Analyst,ServiceNow,Information Technology,IT Asset Management,ITIL,ServiceNow,Inventory,Compliance,,
License Management Specialist,Flexera,Information Technology,Software Licensing,Asset Management,Compliance,Negotiation,,,
IT Cost Analyst,Gartner,Information Technology,IT Finance,Cost Analysis,Excel,Budgeting,Reporting,,
Capacity Planner,IBM,Information Technology,Capacity Planning,Performance Analysis,Linux,Monitoring,Reporting,,
Configuration Manager,Puppet,Information Technology,Configuration Management,Puppet,Ansible,Linux,Automation,,
Release Manager,Atlassian,Information Technology,Release Management,CI/CD,JIRA,Agile,DevOps,,
Service Delivery Manager,Wipro,Information Technology,Service Delivery,ITIL,SLA Management,Communication,Team Management,,
IT Risk Analyst,Deloitte,Information Technology,IT Risk,Risk Assessment,Compliance,Audit,Communication,,
Knowledge Manager,Confluence,Information Technology,Knowledge Management,Documentation,Communication,ITIL,,,
IT Portfolio Manager,PMI,Information Technology,Portfolio Management,Project Management,Agile,Budgeting,Reporting,,
Digital Marketing Analyst,HCL,Information Technology,Digital Marketing,SEO,Google Analytics,SQL,Data Analysis,,
