cgpa,skills_count,internships,projects,certifications,placed
9.4,4,1,11,5,1
8.63,10,1,3,5,1
8.27,8,4,11,1,1
6.37,6,0,7,7,1
7.47,13,0,1,6,1
7.06,11,0,0,7,0
6.98,8,0,2,0,0
9.89,10,0,8,4,1
7.57,2,4,3,7,1
9.57,8,2,9,3,1
8.52,7,1,4,5,1
9.18,11,0,1,3,1
8.01,13,2,3,1,1
8.31,10,2,1,4,1
7.97,2,1,1,5,0
6.78,14,4,3,3,1
8.89,5,3,5,0,1
7.12,10,3,6,6,1
6.1,5,2,9,1,0
8.58,11,1,2,4,1
6.71,4,3,2,1,0
9.76,10,2,9,0,1
9.82,14,4,5,4,1
9.66,3,3,11,1,1
7.48,5,2,2,2,0
6.06,7,2,1,0,0
9.71,3,0,7,0,1
7.71,9,4,4,0,1
9.87,9,0,0,2,1
9.85,2,1,2,2,0
9.41,13,0,9,3,1
7.18,4,0,7,5,0
7.54,11,3,3,6,1
9.4,10,2,6,1,1
7.27,6,4,9,3,1
6.68,7,0,11,1,1
8.23,5,4,1,6,1
9.74,11,0,6,5,1
8.78,3,1,4,2,1
8.28,12,0,4,5,1
6.39,9,3,5,2,1
8.46,12,2,8,6,1
9.96,14,1,5,5,1
6.56,7,0,11,3,1
8.07,6,4,7,4,1
9.51,10,1,6,3,1
8.96,2,1,8,1,1
8.79,6,0,3,3,0
8.81,7,1,1,6,1
7.44,6,4,6,0,1
7.17,7,1,5,1,0
9.24,7,4,0,5,1
9.24,8,0,10,1,1
9.47,5,2,8,4,1
9.65,12,1,8,2,1
8.05,9,2,11,5,1
8.01,8,4,1,7,1
9.19,10,1,2,1,1
8.6,8,3,4,5,1
8.81,4,2,4,5,1
9.18,4,1,0,5,1
9.56,9,2,7,2,1
7.35,6,1,11,7,1
7.5,5,0,7,6,1
6.38,9,2,3,3,1
8.31,7,3,6,5,1
6.14,3,3,10,0,0
7.86,5,4,9,6,1
8.17,13,1,2,4,1
7.15,12,2,5,2,1
8.36,5,4,9,1,1
6.12,7,2,9,2,0
6.15,7,1,11,1,0
9.29,2,3,8,2,1
7.44,9,0,0,1,0
6.51,7,3,4,5,1
8.09,4,4,3,3,1
9.08,10,0,7,1,1
6.86,3,4,10,7,1
8.49,12,1,11,1,1
6.34,9,0,0,0,0
6.21,11,4,8,1,1
8.13,4,1,5,0,0
8.16,14,3,3,4,1
8.55,13,1,11,5,1
8.9,6,2,8,0,1
9.9,7,1,10,3,1
8.07,11,1,4,6,1
7.29,7,2,4,5,1
9.18,5,4,11,0,1
7.08,4,4,4,5,1
7.76,5,1,0,7,1
6.31,2,2,0,5,0
6.1,5,2,7,5,0
9.85,2,3,11,4,1
9.34,13,4,7,3,1
8.78,2,0,11,2,1
7.64,11,4,5,2,1
6.69,7,4,11,0,1
6.63,6,3,10,5,1
7.0,12,0,3,0,0
8.2,5,3,1,4,1
8.86,14,0,1,4,1
8.64,12,1,8,1,1
7.12,4,0,4,7,0
9.82,2,3,3,4,1
8.95,7,4,9,1,1
8.22,3,0,0,3,0
8.45,9,0,6,0,1
7.68,11,2,2,6,1
6.99,6,4,5,3,1
7.42,8,1,4,4,0
9.03,11,3,4,3,1
6.06,13,1,10,3,1
6.46,3,4,4,7,1
6.18,14,0,0,7,0
6.16,9,0,0,7,0
9.42,3,4,2,3,1
8.81,5,0,11,4,1
7.9,2,0,9,6,1
6.39,6,0,3,5,0
7.97,10,3,4,3,1
7.89,2,3,1,1,1
6.69,10,2,7,4,1
7.74,12,1,10,3,1
7.59,9,4,10,6,1
8.46,7,4,1,5,1
8.54,8,4,8,7,1
6.18,4,2,1,4,0
7.5,2,3,8,2,0
8.5,6,2,6,5,1
8.01,13,4,7,1,1
9.43,13,1,10,3,1
8.63,3,0,1,6,0
6.65,6,3,6,2,1
6.28,9,3,11,6,1
8.57,12,2,5,2,1
6.11,10,3,3,4,1
8.34,3,4,6,2,1
9.76,13,4,3,1,1
8.3,4,2,1,1,0
7.55,4,4,9,0,1
8.57,2,1,11,1,1
7.83,9,2,6,5,1
8.18,7,1,7,2,1
9.77,13,0,1,1,1
7.54,14,1,4,4,1
9.84,9,0,0,6,1
9.62,12,0,6,7,1
6.78,10,1,7,6,1
6.28,6,2,5,0,0
6.4,13,4,4,6,1
6.07,4,4,5,2,0
6.38,6,0,1,0,0
8.73,6,0,0,2,0
6.28,6,2,6,4,0
7.28,4,3,6,0,0
9.38,12,1,9,3,1
6.09,11,0,10,5,1
9.26,5,4,9,5,1
7.13,10,2,1,2,0
6.47,14,1,1,6,1
8.79,11,2,0,7,1
8.52,10,1,9,7,1
9.51,3,1,7,3,1
8.94,9,0,7,0,1
9.21,9,2,0,3,1
7.13,8,2,11,3,1
6.71,9,4,10,6,1
9.0,4,4,7,7,1
9.23,14,0,8,0,1
9.96,7,0,3,4,1
7.65,2,3,0,6,0
7.49,8,4,0,3,1
9.11,2,1,2,3,0
7.36,10,2,4,4,1
9.72,2,0,4,3,1
9.43,2,2,8,3,1
7.72,8,2,9,3,1
9.0,3,3,11,5,1
9.02,6,4,1,6,1
6.41,9,0,1,1,0
9.61,9,2,5,6,1
8.02,4,0,8,4,1
9.31,8,1,0,3,1
7.28,4,3,8,6,1
9.58,7,1,8,5,1
7.56,7,0,8,7,1
6.04,4,0,4,4,0
9.62,8,4,8,2,1
6.37,4,2,10,6,1
7.28,9,2,3,2,1
9.8,11,1,1,3,1
9.8,5,3,5,5,1
8.29,14,2,3,5,1
8.53,2,4,5,6,1
7.79,5,1,2,4,1
7.17,8,1,5,4,1
7.31,12,4,1,5,1
8.69,5,3,1,4,1
9.01,14,4,8,5,1
9.17,7,3,6,6,1
9.16,10,4,2,1,1
6.36,2,4,10,5,1
7.98,14,0,0,2,1
6.23,6,1,7,4,1
8.2,12,4,5,5,1
7.77,8,4,6,5,1
9.55,2,2,8,6,1
7.4,5,1,4,4,0
6.47,7,2,0,1,0
6.57,3,1,11,6,1
9.05,11,2,9,1,1
8.47,6,4,6,7,1
6.4,12,4,4,6,1
6.34,11,0,2,4,0
8.8,2,2,11,0,1
6.29,7,3,8,4,0
9.29,7,0,0,4,1
8.82,14,2,0,1,1
6.33,5,2,0,1,0
6.34,14,0,2,4,0
9.95,9,4,11,4,1
7.5,5,2,5,4,1
7.48,9,4,9,1,1
9.25,14,0,10,4,1
9.79,9,4,2,4,1
9.94,6,1,7,7,1
9.01,14,3,9,3,1
7.51,5,2,1,0,0
6.33,13,3,8,2,1
9.11,14,4,2,0,1
8.23,3,2,4,3,0
7.7,12,4,9,2,1
9.63,4,1,7,6,1
6.44,4,0,1,4,0
7.97,5,2,5,3,1
6.05,5,1,11,7,1
7.87,11,1,4,6,1
6.23,12,2,9,4,1
6.48,12,4,8,1,1
6.47,6,1,11,5,1
8.6,5,3,4,3,1
8.98,12,1,1,1,0
8.33,11,4,4,3,1
9.85,9,4,11,7,1
7.5,7,3,3,3,1
7.14,7,1,10,1,1
9.47,9,4,6,7,1
6.89,8,2,5,2,1
9.85,11,0,1,0,1
6.05,12,0,11,4,1
9.88,13,0,10,3,1
6.17,11,1,10,4,0
9.56,14,3,4,5,1
8.11,9,4,6,1,1
9.97,3,2,10,4,1
6.3,10,2,6,1,0
8.22,2,1,4,4,1
9.88,9,0,11,0,1
8.09,13,1,8,0,1
8.52,12,3,3,7,1
8.78,13,3,10,0,1
7.82,13,4,2,7,1
8.51,5,4,3,0,1
8.34,5,3,4,0,1
9.6,6,3,5,0,1
6.18,9,3,2,1,0
7.12,6,1,1,3,0
9.8,9,3,3,7,1
9.56,11,2,4,4,1
7.82,2,0,3,0,0
8.48,13,3,10,1,1
7.11,11,0,11,1,1
6.75,10,1,2,1,0
7.85,7,0,7,7,1
7.41,4,1,9,3,1
8.33,14,2,3,7,1
6.31,9,1,1,4,0
9.9,10,1,1,3,1
9.94,7,4,0,2,1
